dataset,method,seed,edge_perturbation_rate,edge_perturbation_rate_percent,max_visits,clean_accuracy,attacked_accuracy,clean_accuracy_percent,attacked_accuracy_percent,accuracy_drop_points,misclassification_percent,structure_perturbations,attribute_target_visits,feature_writes,feature_changes,source_log
citeseer,GBCA,15,0.1,10.0,5,0.7156,0.4845,71.56,48.449999999999996,23.110000000000003,51.550000000000004,366,9579,9579,9579,max_visits_5.log
citeseer,GBCA,15,0.1,10.0,10,0.7156,0.4655,71.56,46.550000000000004,25.009999999999998,53.449999999999996,366,18233,18233,18233,max_visits_10.log
citeseer,GBCA,15,0.1,10.0,15,0.7156,0.4234,71.56,42.34,29.220000000000002,57.66,366,25898,25898,25898,max_visits_15.log
citeseer,GBCA,15,0.1,10.0,20,0.7156,0.4334,71.56,43.34,28.22,56.66,366,31875,31875,31875,max_visits_20.log
citeseer,GBCA,15,0.1,10.0,25,0.7156,0.4466,71.56,44.66,26.900000000000002,55.34,366,37168,37168,37168,max_visits_25.log
citeseer,GBCA,15,0.1,10.0,30,0.7156,0.4508,71.56,45.08,26.480000000000004,54.92,366,41274,41274,41274,max_visits_30.log
