dataset,method,seed,perturbation_rate,perturbation_rate_percent,clean_accuracy,attacked_accuracy,clean_accuracy_percent,attacked_accuracy_percent,accuracy_drop_points,misclassification_percent,structure_perturbations,source_log
citeseer,GBCA,15,0.0,0.0,0.7262,0.7262,72.61999999999999,72.61999999999999,0.0,27.380000000000003,0,ptb_0.05.log
citeseer,GBCA,15,0.05,5.0,0.7262,0.535,72.61999999999999,53.5,19.119999999999994,46.5,183,ptb_0.05.log
citeseer,GBCA,15,0.1,10.0,0.7156,0.4829,71.56,48.29,23.270000000000003,51.71,366,ptb_0.10.log
citeseer,GBCA,15,0.15,15.0,0.7151,0.4466,71.50999999999999,44.66,26.849999999999994,55.34,550,ptb_0.15.log
citeseer,GBCA,15,0.2,20.0,0.7156,0.4313,71.56,43.13,28.43,56.87,733,ptb_0.20.log
citeseer,GBCA,15,0.25,25.0,0.7235,0.3791,72.35000000000001,37.91,34.440000000000005,62.09,917,ptb_0.25.log
