dataset,method,seed,edge_perturbation_rate,edge_perturbation_rate_percent,max_visits,requested_unique_attribute_nodes,actual_unique_attribute_nodes,actual_attribute_node_percent,attribute_target_visits,graph_nodes,clean_accuracy,attacked_accuracy,clean_accuracy_percent,attacked_accuracy_percent,accuracy_drop_points,misclassification_percent,structure_perturbations,source_log
citeseer,GBCA,15,0.1,10.0,15,500,500,23.696682464454977,7266,2110,0.7156,0.5887,71.56,58.87,12.690000000000001,41.13,366,attribute_nodes_500.log
citeseer,GBCA,15,0.1,10.0,15,700,700,33.175355450236964,10380,2110,0.7156,0.5619,71.56,56.19,15.370000000000006,43.81,366,attribute_nodes_700.log
citeseer,GBCA,15,0.1,10.0,15,900,900,42.65402843601896,13318,2110,0.7156,0.5445,71.56,54.449999999999996,17.110000000000003,45.550000000000004,366,attribute_nodes_900.log
citeseer,GBCA,15,0.1,10.0,15,1100,1100,52.13270142180095,16023,2110,0.7156,0.5377,71.56,53.769999999999996,17.790000000000006,46.230000000000004,366,attribute_nodes_1100.log
citeseer,GBCA,15,0.1,10.0,15,1300,1300,61.61137440758294,18590,2110,0.7156,0.4945,71.56,49.45,22.110000000000003,50.550000000000004,366,attribute_nodes_1300.log
citeseer,GBCA,15,0.1,10.0,15,1500,1500,71.09004739336493,21216,2110,0.7156,0.465,71.56,46.5,25.06,53.49999999999999,366,attribute_nodes_1500.log
